216.8 209.91
214.08 170.42
241.18 71.582
81.894 207.66
51.127 132.23
206.04 138.15
25.484 227.05
84.445 215.17
79.148 54.966
245.61 85.442
79.392 212.44
12.73 48.082
26.857 228.57
27.286 236.99
79.209 205.71
205.26 145.46
103.92 3.9799
72.277 214.75
47.959 48.61
187.24 56.892
1.9027 234.29
91.96 153.1
79.403 215.44
212.02 28.825
245.7 74.072
84.203 206.59
48.498 138.96
79.343 210.28
79.328 213.19
14.73 154.83
87.18 211.73
61.726 187.69
88.796 206.18
241.14 70.601
84.281 205.68
61.666 101.06
139.31 13.878
194.69 195.35
49.257 34.042
142.84 91.771
20.421 213.52
34.003 34.384
92.768 98.696
162.51 36.198
134.78 192.43
78.957 205.64
138.44 151.03
77.164 40.62
175.49 234.93
225.47 170.01
207.72 35.833
86.65 208.84
189.02 46.578
46.548 176.95
194.21 50.927
5.5601 80.911
168.81 135.83
15.963 224.71
28.187 234.2
42.466 192.34
82.831 213.11
7.281 4.3284
188.7 149.28
194.47 22.074
108.88 196
10.407 238.41
84.568 215.12
146.35 103.74
183.94 51.695
247.53 233.73
233.74 61.244
196.71 52.012
82.586 208.54
248.3 20.129
79.488 210.13
150.67 157.19
79.416 214.82
242.64 119.38
139.21 50.329
47.83 177.94
65.294 217.51
44.825 108.91
85.684 205.86
52.95 39.315
79.808 214.38
88.523 209.1
65.511 94.355
108.91 58.328
97.509 222.89
98.199 100.1
238.72 128.12
168.81 19.412
88.934 207.52
18.243 134.57
114.23 95.456
6.0333 3.2386
189.21 61.036
87.062 208.54
88.176 214.86
197.71 61.029
24.78 188.04
238.66 58.488
54.756 49.711
198.85 34.713
244.15 157.85
93.391 169.9
88.983 206.43
85.778 213.69
26.541 133.41
88.258 205.76
194.94 60.844
80.49 211.52
48.087 93.149
97.667 200.18
36.402 72.733
185.77 52.236
157.1 52.697
82.678 207.19
20.747 132.41
132.4 156.79
149.79 183.86
16.763 200.67
222.34 182.61
39.372 230.72
167.38 203.01
102.01 137.63
194.6 82.659
217.03 3.1441
86.778 211.04
197.88 46.221
85.707 205.45
205.98 191.81
85.753 207.74
183.22 212.12
142.61 145.1
83.464 208.6
81.626 11.84
247.5 218.52
26.928 50.013
225.66 241.56
74.027 63.706
48.89 68.164
13.924 56.582
189.35 48.662
99.595 107.62
246 242.28
60.519 242.15
12.066 74.334
141.97 6.095
193.56 223.24
223.68 32.797
181.4 198.35
103.96 23.11
50.561 61.504
81.439 113.79
228.63 8.2553
24.244 226.25
218.21 84.133
164.11 61.044
77.69 111.96
158.87 71.002
151.09 52.991
18.492 243.06
38.613 236.69
220.8 186.89
81.524 213.99
37.835 90.292
83.423 214.39
5.2096 203.69
234.83 174.06
171.76 216.76
215.04 217.44
213.29 29.675
173.39 156.25
102.31 53.357
137.43 136.63
188.18 61.308
60.407 197.89
58.842 57.966
195.27 59.403
79.011 210.5
77.811 143.79
65.639 237.56
26.153 227.7
8.5511 28.747
137.35 209.14
79.195 208.58
136.47 176.01
123.48 164.43
167.02 16.769
23.883 61.396
191.94 45.843
105.43 4.8854
182.73 47.311
79.606 208.59
86.746 213.18
